p_i,time,p_m
1,3600,370926.263369351
1,7200,382502.898958629
1,10800,391385.963876279
1,14400,398874.734015635
1,18000,405472.472955316
1,21600,411437.284897617
1,25200,416922.495577724
1,28800,422028.00519419
1,32400,426823.20466192
1,36000,431358.617083683
1,39600,435672.383321054
1,43200,439794.135029491
1,46800,443747.436709045
1,50400,447551.394365771
1,54000,451221.754088093
1,57600,454771.675308204
1,61200,458212.289272172
1,64800,461553.111429752
1,68400,464802.351896733
1,72000,467967.153187566
1,75600,471053.775017916
1,79200,474067.739905362
1,82800,477013.949276898
1,86400,479896.777072167
1,90000,482720.145954486
1,93600,485487.589923537
1,97200,488202.306182677
1,100800,490867.198432313
1,104400,493484.9132605
1,108000,496057.870930076
1,111600,498588.291582156
1,115200,501078.217663411
1,118800,503529.533221703
1,122400,505943.980588476
1,126000,508323.174867846
1,129600,510668.616574825
1,133200,512981.702703655
1,136800,515263.736458154
1,140400,517515.935836535
1,144000,519739.441231263
1,147600,521935.32217855
1,151200,524104.583370883
1,154800,526248.170028501
1,158400,528366.972711314
1,162000,530461.831640802
1,165600,532533.5405914
1,169200,534582.850402542
1,172800,536610.472155484
1,176400,538617.080053082
1,180000,540603.314035666
1,183600,542569.782161881
1,187200,544517.062779681
1,190800,546445.706509566
1,194400,548356.238059442
1,198000,550249.157888174
1,201600,552124.943732898
1,205200,553984.052013428
1,208800,555826.919125585
1,212400,557653.962633957
1,216000,559465.582373454
1,219600,561262.16146802
1,223200,563044.067273977
1,226800,564811.652254702
1,230400,566565.254792654
1,234000,568305.199944149
1,237600,570031.800141778
1,241200,571745.35584884
1,244800,573446.156169777
1,248400,575134.479420207
1,252000,576810.593659802
1,255600,578474.757190982
1,259200,580127.219026095
1,262800,581768.219325541
1,266400,583397.989809059
1,270000,585016.754142202
1,273600,586624.728299864
1,277200,588222.12090854
1,280800,589809.133568873
1,284400,591385.961159911
1,288000,592952.792126358
1,291600,594509.808750027
1,295200,596057.187406582
1,298800,597595.098808573
1,302400,599123.708235694
1,306000,600643.17575311
1,309600,602153.656418647
1,313200,603655.300479553
1,316800,605148.253559515
1,320400,606632.656836532
1,324000,608108.647212233
1,327600,609576.357473142
1,331200,611035.916444407
1,334800,612487.449136415
1,338400,613931.076884742
1,342000,615366.917483801
1,345600,616795.085314568
1,349200,618215.691466709
1,352800,619628.843855432
1,356400,621034.647333342
1,360000,622433.203797578
1.12201845430196,3600,370926.340128033
1.12201845430196,7200,382502.974304746
1.12201845430196,10800,391386.038138497
1.12201845430196,14400,398874.807364085
1.12201845430196,18000,405472.545498718
1.12201845430196,21600,411437.356713202
1.12201845430196,25200,416922.566724011
1.12201845430196,28800,422028.07571751
1.12201845430196,32400,426823.274600137
1.12201845430196,36000,431358.686468495
1.12201845430196,39600,435672.452179506
1.12201845430196,43200,439794.203385013
1.12201845430196,46800,443747.504582191
1.12201845430196,50400,447551.461774764
1.12201845430196,54000,451221.821049233
1.12201845430196,57600,454771.741836188
1.12201845430196,61200,458212.355380337
1.12201845430196,64800,461553.177130275
1.12201845430196,68400,464802.417200789
1.12201845430196,72000,467967.218105456
1.12201845430196,75600,471053.839559182
1.12201845430196,79200,474067.804078867
1.12201845430196,82800,477014.013090911
1.12201845430196,86400,479896.840534422
1.12201845430196,90000,482720.209072237
1.12201845430196,93600,485487.652703609
1.12201845430196,97200,488202.368631503
1.12201845430196,100800,490867.260555973
1.12201845430196,104400,493484.975064749
1.12201845430196,108000,496057.932420377
1.12201845430196,111600,498588.352763698
1.12201845430196,115200,501078.278541136
1.12201845430196,118800,503529.593800323
1.12201845430196,122400,505944.040872489
1.12201845430196,126000,508323.234861553
1.12201845430196,129600,510668.676282344
1.12201845430196,133200,512981.762128934
1.12201845430196,136800,515263.795604982
1.12201845430196,140400,517515.994708554
1.12201845430196,144000,519739.499831972
1.12201845430196,147600,521935.380511321
1.12201845430196,151200,524104.641438965
1.12201845430196,154800,526248.227835025
1.12201845430196,158400,528367.030259304
1.12201845430196,162000,530461.888933181
1.12201845430196,165600,532533.597630992
1.12201845430196,169200,534582.90719208
1.12201845430196,172800,536610.528697614
1.12201845430196,176400,538617.136350368
1.12201845430196,180000,540603.370090596
1.12201845430196,183600,542569.837976865
1.12201845430196,187200,544517.11835706
1.12201845430196,190800,546445.761851615
1.12201845430196,194400,548356.293168371
1.12201845430196,198000,550249.212766132
1.12201845430196,201600,552124.998381975
1.12201845430196,205200,553984.106435659
1.12201845430196,208800,555826.973322952
1.12201845430196,212400,557654.016608391
1.12201845430196,216000,559465.636126837
1.12201845430196,219600,561262.215002187
1.12201845430196,223200,563044.120590718
1.12201845430196,226800,564811.705355765
1.12201845430196,230400,566565.307679744
1.12201845430196,234000,568305.252618934
1.12201845430196,237600,570031.852605886
1.12201845430196,241200,571745.408103862
1.12201845430196,244800,573446.20821727
1.12201845430196,248400,575134.531261692
1.12201845430196,252000,576810.645296771
1.12201845430196,255600,578474.808624892
1.12201845430196,259200,580127.270258374
1.12201845430196,262800,581768.270357588
1.12201845430196,266400,583398.040642243
1.12201845430196,270000,585016.804777867
1.12201845430196,273600,586624.778739326
1.12201845430196,277200,588222.17115309
1.12201845430196,280800,589809.183619778
1.12201845430196,284400,591386.011018414
1.12201845430196,288000,592952.841793678
1.12201845430196,291600,594509.858227363
1.12201845430196,295200,596057.236695109
1.12201845430196,298800,597595.147909446
1.12201845430196,302400,599123.757150048
1.12201845430196,306000,600643.224482062
1.12201845430196,309600,602153.704963292
1.12201845430196,313200,603655.348840969
1.12201845430196,316800,605148.301738763
1.12201845430196,320400,606632.704834655
1.12201845430196,324000,608108.695030258
1.12201845430196,327600,609576.405112079
1.12201845430196,331200,611035.963905251
1.12201845430196,334800,612487.496420145
1.12201845430196,338400,613931.123992322
1.12201845430196,342000,615366.964416182
1.12201845430196,345600,616795.132072686
1.12201845430196,349200,618215.738051487
1.12201845430196,352800,619628.890267779
1.12201845430196,356400,621034.693574155
1.12201845430196,360000,622433.249867741
1.25892541179417,3600,370926.42625269
1.25892541179417,7200,382503.05884448
1.25892541179417,10800,391386.121462076
1.25892541179417,14400,398874.889662398
1.25892541179417,18000,405472.626893755
1.25892541179417,21600,411437.437291613
1.25892541179417,25200,416922.646551458
1.25892541179417,28800,422028.154845976
1.25892541179417,32400,426823.353072106
1.25892541179417,36000,431358.764319535
1.25892541179417,39600,435672.52943996
1.25892541179417,43200,439794.28008117
1.25892541179417,46800,443747.580737113
1.25892541179417,50400,447551.537408897
1.25892541179417,54000,451221.896180868
1.25892541179417,57600,454771.816481814
1.25892541179417,61200,458212.429554918
1.25892541179417,64800,461553.250847474
1.25892541179417,68400,464802.490473143
1.25892541179417,72000,467967.290944527
1.25892541179417,75600,471053.911975672
1.25892541179417,79200,474067.876082725
1.25892541179417,82800,477014.084691411
1.25892541179417,86400,479896.911740243
1.25892541179417,90000,482720.279891519
1.25892541179417,93600,485487.723144008
1.25892541179417,97200,488202.438700238
1.25892541179417,100800,490867.330259865
1.25892541179417,104400,493485.044410258
1.25892541179417,108000,496058.00141363
1.25892541179417,111600,498588.421410519
1.25892541179417,115200,501078.346847068
1.25892541179417,118800,503529.661770652
1.25892541179417,122400,505944.108512263
1.25892541179417,126000,508323.302175598
1.25892541179417,129600,510668.743275282
1.25892541179417,133200,512981.828805194
1.25892541179417,136800,515263.861968816
1.25892541179417,140400,517516.060764045
1.25892541179417,144000,519739.56558305
1.25892541179417,147600,521935.445961767
1.25892541179417,151200,524104.706592423
1.25892541179417,154800,526248.292695011
1.25892541179417,158400,528367.094829212
1.25892541179417,162000,530461.953216287
1.25892541179417,165600,532533.661630467
1.25892541179417,169200,534582.97091099
1.25892541179417,172800,536610.592138928
1.25892541179417,176400,538617.199516963
1.25892541179417,180000,540603.432985261
1.25892541179417,183600,542569.900602307
1.25892541179417,187200,544517.180715906
1.25892541179417,190800,546445.823946416
1.25892541179417,194400,548356.355001606
1.25892541179417,198000,550249.274340213
1.25892541179417,201600,552125.059699247
1.25892541179417,205200,553984.167498406
1.25892541179417,208800,555827.034133398
1.25892541179417,212400,557654.077168702
1.25892541179417,216000,559465.696439124
1.25892541179417,219600,561262.275068509
1.25892541179417,223200,563044.180413085
