p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.0,370926.26336935104,0.0,0.0,0.0,0.0,999999.0,103.03479538037529
1.0,382502.898958629,0.0,0.0,999999.0,103.03479538037529,629073.736630649,3.215732108132765
1.0,391385.963876279,999999.0,103.03479538037529,629073.736630649,3.215732108132765,617497.101041371,2.4675180326805597
1.0,398874.734015635,629073.736630649,3.215732108132765,617497.101041371,2.4675180326805597,608614.0361237209,2.0802139275988805
1.0,405472.472955316,617497.101041371,2.4675180326805597,608614.0361237209,2.0802139275988805,601125.265984365,1.832705261022509
1.0,411437.284897617,608614.0361237209,2.0802139275988805,601125.265984365,1.832705261022509,594527.5270446839,1.65689220619472
1.0,416922.495577724,601125.265984365,1.832705261022509,594527.5270446839,1.65689220619472,588562.7151023829,1.5236696333630566
1.0,422028.00519419,594527.5270446839,1.65689220619472,588562.7151023829,1.5236696333630566,583077.504422276,1.4181971156850017
1.0,426823.20466192,588562.7151023829,1.5236696333630566,583077.504422276,1.4181971156850017,577971.99480581,1.331999852147225
1.0,431358.61708368297,583077.504422276,1.4181971156850017,577971.99480581,1.331999852147225,573176.79533808,1.2598367838230398
1.0,435672.383321054,577971.99480581,1.331999852147225,573176.79533808,1.2598367838230398,568641.3829163171,1.1982683992697276
1.0,439794.13502949104,573176.79533808,1.2598367838230398,568641.3829163171,1.1982683992697276,564327.616678946,1.1449310301214024
1.0,443747.436709045,568641.3829163171,1.1982683992697276,564327.616678946,1.1449310301214024,560205.864970509,1.0981393554316634
1.0,447551.39436577103,564327.616678946,1.1449310301214024,560205.864970509,1.0981393554316634,556252.563290955,1.0566549046461133
1.0,451221.75408809294,560205.864970509,1.0981393554316634,556252.563290955,1.0566549046461133,552448.605634229,1.019544367311642
1.0,454771.67530820396,556252.563290955,1.0566549046461133,552448.605634229,1.019544367311642,548778.245911907,0.9860892278086167
1.0,458212.289272172,552448.605634229,1.019544367311642,548778.245911907,0.9860892278086167,545228.324691796,0.9557261011022395
1.0,461553.111429752,548778.245911907,0.9860892278086167,545228.324691796,0.9557261011022395,541787.710727828,0.9280061548833328
